Date,Close,DayNumber,Month_Number,Year,FFT_Mag_Close_900,FFT_Angl_Close_900
2005-11-18,56.13999938964844,4,1100,2005,57.010241383651454,0.0003921478825216862
2005-11-21,57.70000076293945,0,1100,2005,57.76105669789223,0.0001116869951967511
2005-11-22,58.84000015258789,1,1100,2005,58.29519945382605,-0.00026711536809790763
2005-11-23,58.709999084472656,2,1100,2005,58.212282606016764,-0.0003921556756465272
2005-11-28,57.36000061035156,0,1100,2005,57.63019316238439,-0.00014641153415895504
2005-11-29,56.5,1,1100,2005,57.122686601862206,0.00024428186778537004
2005-11-30,57.31999969482422,2,1100,2005,57.25549201827911,0.00040369326402385963
2005-12-01,58.47000122070313,3,1200,2005,58.111227264114774,0.00017819921699029675
2005-12-02,59.31999969482422,4,1200,2005,59.21601972873512,-0.0002064062831863323
2005-12-05,59.90999984741211,0,1200,2005,59.93739106879756,-0.0003872416259947933
2005-12-06,59.93999862670898,1,1200,2005,60.01176934190292,-0.00020310094176530783
2005-12-07,59.209999084472656,2,1200,2005,59.743904694454855,0.00017392990356591387
2005-12-08,60.65999984741211,3,1200,2005,59.7055468936643,0.0003871880981254038
2005-12-09,59.38999938964844,4,1200,2005,60.19889349184187,0.00023126618155174767
2005-12-12,61.29999923706055,0,1200,2005,60.95671402518933,-0.00013903428383788013
2005-12-13,61.36999893188477,1,1200,2005,61.34479493602203,-0.0003722481898631206
2005-12-14,60.849998474121094,2,1200,2005,60.89526966145983,-0.000255221475426318
2005-12-15,59.9900016784668,3,1200,2005,59.7138261753465,0.0001086795809354362
2005-12-16,58.06000137329102,4,1200,2005,58.41623551102364,0.0003828933754286818
2005-12-19,57.33000183105469,0,1200,2005,57.65637673216822,0.0002954513430353985
2005-12-20,57.97999954223633,1,1200,2005,57.65091339622974,-7.721072979017885e-05
2005-12-21,58.56000137329102,2,1200,2005,58.09136313562003,-0.00037382844702695705
2005-12-22,58.27999877929688,3,1200,2005,58.487630724737855,-0.0003143980166281884
2005-12-23,58.43000030517578,4,1200,2005,58.61977353951261,4.05410713171889e-05
2005-12-27,58.15999984741211,1,1200,2005,58.70422217722236,0.00035581511067865265
2005-12-28,59.81999969482422,2,1200,2005,59.152999592159695,0.0003312080095323973
2005-12-29,60.31999969482422,3,1200,2005,60.16476929437957,-4.692736063263779e-06
2005-12-30,61.040000915527344,4,1200,2005,61.51654697807483,-0.0003233096129107615
2006-01-03,63.13999938964844,1,100,2006,62.725797086273126,-0.0003289791632066229
2006-01-04,63.41999816894531,2,100,2006,63.41982267776993,-2.8605246679705645e-05
2006-01-05,62.790000915527344,3,100,2006,63.58424637578069,0.00029453031701394037
2006-01-06,64.20999908447266,4,100,2006,63.49875985221928,0.0003387541899870837
2006-01-09,63.5,0,100,2006,63.46134003109837,6.138854875606323e-05
2006-01-10,63.36999893188477,1,100,2006,63.575308293423966,-0.0002738976405356253
2006-01-11,63.93999862670898,2,100,2006,63.77821752202132,-0.00034823445501448816
2006-01-12,63.93999862670898,3,100,2006,64.03608114569943,-9.284828236145968e-05
2006-01-13,63.91999816894531,4,100,2006,64.4643741957992,0.0002475249690413762
2006-01-17,66.30999755859375,1,100,2006,65.22388121589124,0.00034845632853764633
2006-01-18,65.73000335693361,2,100,2006,66.28576774307655,0.00011988876951675593
2006-01-19,66.83000183105469,3,100,2006,67.32042032871023,-0.00021345129515029342
2006-01-20,68.34999847412111,4,100,2006,67.8726398810109,-0.00033975317700259654
2006-01-23,68.09999847412111,0,100,2006,67.7160832662512,-0.00014595189818344113
2006-01-24,67.05999755859375,1,100,2006,67.0830534421576,0.00018880109961214497
2006-01-25,65.84999847412111,2,100,2006,66.5378067961622,0.00034873213744973094
2006-01-26,66.26000213623047,3,100,2006,66.55688856781067,0.00017637452971528919
2006-01-27,67.76000213623047,4,100,2006,67.1439923515415,-0.0001617066801625696
2006-01-30,68.34999847412111,0,100,2006,67.80142886709328,-0.00034156032707895884
2006-01-31,67.91999816894531,1,100,2006,67.89799344210927,-0.00019880867366611895
2006-02-01,66.55999755859375,2,200,2006,67.14795503170019,0.0001334549827294711
2006-02-02,64.68000030517578,3,200,2006,65.82270599823325,0.00034826185062492005
2006-02-03,65.37000274658203,4,200,2006,64.53322967975504,0.00023473531687804357
2006-02-06,65.11000061035156,0,200,2006,63.76472185606019,-0.00010964737799770355
2006-02-07,63.09000015258789,1,200,2006,63.53163535316539,-0.0003541789258378163
2006-02-08,62.54999923706055,2,200,2006,63.40905380637644,-0.00026295963420100356
2006-02-09,62.61999893188477,3,200,2006,62.891679617346085,7.894422792881582e-05
2006-02-10,61.84000015258789,4,200,2006,61.78870651071473,0.00035436591602363025
2006-02-13,61.2400016784668,0,200,2006,60.3643426776612,0.0002992433546475034
2006-02-14,59.56999969482422,1,200,2006,59.15090297481538,-4.8987993253450506e-05
2006-02-15,57.70000076293945,2,200,2006,58.60192657355758,-0.00036024789420288997
2006-02-16,58.459999084472656,3,200,2006,58.83546745000808,-0.0003281302862344743
2006-02-17,59.88000106811523,4,200,2006,59.61197948230489,1.3533619837272863e-05
2006-02-21,61.099998474121094,1,200,2006,60.5132334202574,0.0003330544501092745
2006-02-22,61.0099983215332,2,200,2006,61.179424203067356,0.0003332834232732321
2006-02-23,60.540000915527344,3,200,2006,61.4706337284574,2.0997695306421613e-05
2006-02-24,62.90999984741211,4,200,2006,61.494557761146055,-0.0003095000928252356
2006-02-27,61.0,0,200,2006,61.51115024977773,-0.00034640774882101525
2006-02-28,61.40999984741211,1,200,2006,61.76172669340582,-5.4689320834952367e-05
2006-03-01,61.97000122070313,2,300,2006,62.29566391066949,0.0002850196868704015
2006-03-02,63.36000061035156,3,300,2006,62.890574089155514,0.0003506368939242145
2006-03-03,63.66999816894531,4,300,2006,63.14620999371159,8.610309930383717e-05
2006-03-06,62.40999984741211,0,300,2006,62.741620896500024,-0.0002603278332316523
2006-03-07,61.58000183105469,1,300,2006,61.71165755107304,-0.00036646985511793476
2006-03-08,60.02000045776367,2,300,2006,60.530395664448214,-0.0001231125933221006
2006-03-09,60.47000122070313,3,300,2006,59.88052778292626,0.0002467894963470191
2006-03-10,59.959999084472656,4,300,2006,60.2130110897759,0.0003818851515439373
2006-03-13,61.77000045776367,0,300,2006,61.396578188294185,0.00015320329713401707
2006-03-14,63.099998474121094,1,300,2006,62.742298351444724,-0.0002088173508869307
2006-03-15,62.16999816894531,2,300,2006,63.43515947387627,-0.0003655013747072255
2006-03-16,63.58000183105469,3,300,2006,63.08926655132919,-0.0001788487542893142
2006-03-17,62.77000045776367,4,300,2006,62.021755595559355,0.00018249187617310554
2006-03-20,60.41999816894531,0,300,2006,61.03317244592306,0.00037991553326775145
2006-03-21,60.56999969482422,1,300,2006,60.85345975783819,0.0002147545391104551
2006-03-22,61.77000045776367,2,300,2006,61.66771472704758,-0.00015312401193100616
2006-03-23,63.90999984741211,3,300,2006,63.06409968165293,-0.00036470633528318724
2006-03-24,64.26000213623047,4,300,2006,64.40503457359304,-0.0002289718195956873
2006-03-27,64.16000366210939,0,300,2006,65.29479729490862,0.00011471088806413741
2006-03-28,66.06999969482422,1,300,2006,65.77212457250405,0.00034398234078948013
2006-03-29,66.44999694824219,2,300,2006,66.12068799106382,0.0002465925970637475
2006-03-30,67.15000152587889,3,300,2006,66.52328591002491,-8.231801716886332e-05
2006-03-31,66.62999725341797,4,300,2006,66.89551037186993,-0.0003298313229854716
2006-04-03,66.73999786376953,0,400,2006,67.03598035505814,-0.00026447938360509086
2006-04-04,66.23000335693361,1,400,2006,66.91605858288722,5.106964732536963e-05
2006-04-05,67.06999969482422,2,400,2006,66.79690771043363,0.0003192334640570737
2006-04-06,67.94000244140625,3,400,2006,67.03200187626425,0.000283589752912458
2006-04-07,67.38999938964844,4,400,2006,67.72869661329685,-1.9648720902579554e-05
2006-04-10,68.73999786376953,0,400,2006,68.6026292568627,-0.00029749905667388895
