,0
1987,41.26
1988,41.36
1989,41.34
1990,41.33
1991,41.03
1992,41.2
1993,41.24
1994,41.27
1995,41.48
1996,41.59
1997,41.49
1998,41.35
1999,41.54
2000,41.45
2001,41.38
2002,41.37
2003,41.24
2004,40.99
2005,41.0
2006,40.87
2007,40.99
2008,40.99
2009,41.12
2010,41.6
2011,41.26
2012,41.08
2013,41.11
2014,41.13
2015,41.62
2016,41.66
2017,41.5
2018,41.19
2019,41.39
2020,41.27
2021,41.49
2022,41.47
2023,41.42
2024,40.92
2025,41.0
2026,40.84
2027,42.15
2028,41.6
2029,41.64
2030,41.58
2031,41.81
2032,41.81
2033,41.81
2034,41.69
2035,41.79
2036,41.74
2037,41.86
2038,41.59
2039,41.49
2040,41.57
2041,41.66
2042,42.08
2043,42.77
2044,42.69
2045,42.03
2046,41.79
2047,42.07
2048,42.39
2049,42.38
2050,42.87
2051,42.81
2052,43.15
2053,43.23
2054,42.98
2055,43.17
2056,43.22
2057,43.28
2058,43.1
2059,42.63
2060,42.74
2061,42.8
2062,42.98
2063,42.39
2064,42.72
2065,42.94
2066,42.99
2067,42.68
2068,42.6
2069,42.44
2070,42.74
2071,42.8
2072,42.84
2073,42.87
2074,42.63
2075,42.79
2076,42.85
2077,42.93
2078,43.39
2079,43.57
2080,43.42
2081,43.38
2082,43.98
2083,43.97
2084,43.91
